plan_id,planned_amount,actual_amount,variance_pct
P00001,15619244,12409856,20.55
P00003,29007930,31600142,8.94
P00004,35943085,39588454,10.14
P00005,42322150,58187743,37.49
P00006,29461753,35698527,21.17
P00008,13575052,11881998,12.47
P00009,12110341,9557346,21.08
P00010,8414034,5995981,28.74
P00011,15852729,20757200,30.94
P00013,15966108,13356980,16.34
P00015,96443274,126422499,31.08
P00016,38390236,41413881,7.88
P00017,58578646,61477435,4.95
P00018,141080843,134586856,4.6
P00022,20662366,22710025,9.91
P00023,270646040,270017974,0.23
P00025,24159917,22286682,7.75
P00027,26052588,29860460,14.62
P00036,41821379,40918212,2.16
P00038,6624236,5830982,11.98
P00039,36459914,39740358,9.0
P00040,56714741,56170401,0.96
P00041,55158955,59204119,7.33
P00042,42390846,39504920,6.81
P00043,26355623,21575551,18.14
P00045,37840674,51628511,36.44
P00046,92432796,122453895,32.48
P00047,24067788,28534645,18.56
P00048,16632437,15277887,8.14
P00049,59834953,56061355,6.31
P00051,30208234,38977344,29.03
P00053,17721243,16780696,5.31
P00056,63329978,57321014,9.49
P00057,19270018,26846397,39.32
P00058,15610784,15454483,1.0
P00059,74721397,102470631,37.14
P00061,29264717,20670772,29.37
P00062,339961201,376955379,10.88
P00063,52834212,75813255,43.49
P00066,13332272,13415567,0.62
P00077,29691287,28515492,3.96
P00078,21072131,17381077,17.52
P00079,37785269,43919762,16.24
P00080,6832954,6043616,11.55
P00081,18816918,18549317,1.42
P00082,166324040,135524929,18.52
P00086,48179720,59431331,23.35
P00087,13989450,16412881,17.32
P00088,11660673,11583330,0.66
P00089,107630141,81543686,24.24
P00091,44798614,59247980,32.25
P00092,56005381,51701610,7.68
P00093,57589200,44223148,23.21
P00094,39774899,25056405,37.0
P00095,59042083,53321213,9.69
P00097,59979977,46892602,21.82
P00098,58781339,53289802,9.34
P00099,120079389,133487610,11.17
P00100,128727530,121478879,5.63
P00101,39936358,42067122,5.34
P00102,126987577,113209399,10.85
P00104,50900369,51397938,0.98
P00106,14156952,18236067,28.81
P00108,29961448,27768807,7.32
P00109,25710892,27786536,8.07
P00111,80543095,54063689,32.88
P00112,5094446,6720706,31.92
P00113,42337677,38094874,10.02
P00124,55288806,64001218,15.76
P00125,122531904,120267876,1.85
P00126,66852005,72984801,9.17
P00128,18495852,20357493,10.07
P00129,83635978,77959934,6.79
P00130,12960466,15083208,16.38
P00131,29710452,24974997,15.94
P00133,34397034,40016346,16.34
P00135,23922609,21962315,8.19
P00136,6598018,7082359,7.34
P00138,155901005,140775718,9.7
P00139,28661845,28876705,0.75
P00140,13976299,11723262,16.12
P00141,100523574,104256370,3.71
P00142,11435143,11510937,0.66
P00143,124284745,114214817,8.1
P00144,64290114,63547185,1.16
P00145,166650117,171339807,2.81
P00146,62629301,54522878,12.94
P00147,64531708,62786815,2.7
P00152,24751990,21018578,15.08
P00153,41192670,55686721,35.19
P00154,28070510,32530010,15.89
P00155,23936741,24917288,4.1
P00156,13322347,15664641,17.58
P00157,48138854,33847012,29.69
P00160,39804606,24533490,38.37
P00161,119587131,112424620,5.99
P00162,31552541,22418128,28.95
P00163,28173852,26773973,4.97
P00164,71847491,74950432,4.32
P00165,13593075,16220440,19.33
P00166,6536394,4973964,23.9
P00169,14881607,16130507,8.39
P00170,18313204,18368543,0.3
P00171,17571826,18487781,5.21
P00172,46172206,42572353,7.8
P00174,11919418,14392342,20.75
P00175,47609507,46870307,1.55
P00176,292138146,400982470,37.26
P00177,197147858,164424937,16.6
P00179,77296008,89353701,15.6
P00180,43663845,43116720,1.25
P00181,23151093,21557698,6.88
P00188,44661671,48897709,9.48
P00189,70426444,67265985,4.49
P00191,26125355,15693636,39.93
P00192,19152592,6833600,64.32
P00193,127358667,161390004,26.72
P00194,49173652,61877875,25.84
P00195,38447759,53686205,39.63
P00196,37911536,37771986,0.37
P00197,19652176,14317527,27.15
P00198,90201261,84524212,6.29
P00199,309258298,309788266,0.17
P00200,30234458,25667369,15.11
P00201,41881108,52237728,24.73
P00205,45584258,67022334,47.03
P00207,81109165,89255684,10.04
P00209,21257036,21208540,0.23
P00210,108143832,78734866,27.19
P00211,23696463,31391915,32.48
P00221,30077797,30422068,1.14
P00222,152261791,145657487,4.34
P00223,149988888,160814502,7.22
P00225,51557178,47027532,8.79
P00226,12021538,12286387,2.2
P00227,21507227,16853707,21.64
P00228,40016025,46541161,16.31
P00229,34595032,33836490,2.19
P00231,33870463,42112778,24.33
P00233,120791607,115689538,4.22
P00234,94010167,91321293,2.86
P00235,57097958,42561579,25.46
P00237,26268846,30460013,15.95
P00240,24451362,21239040,13.14
P00241,60548006,56130220,7.3
P00242,150825083,150848774,0.02
P00243,87473802,89064393,1.82
P00244,40083941,29825877,25.59
P00245,35868140,34626353,3.46
P00246,49013438,54859983,11.93
P00247,80807419,76221540,5.68
P00248,10619733,10261744,3.37
P00249,21644016,22171283,2.44
P00250,111187832,109087041,1.89
P00251,21943459,18551497,15.46
P00252,111365740,110515720,0.76
P00253,12664873,15308733,20.88
P00255,58248021,45389948,22.07
P00256,12708979,11709529,7.86
P00258,35585899,25260914,29.01
P00259,138357064,165708900,19.77
P00268,15959824,15738720,1.39
P00269,51575725,44998275,12.75
P00273,27840431,28225738,1.38
P00274,31417338,25745250,18.05
P00276,86597262,73172579,15.5
P00277,28873230,22549414,21.9
P00278,113481028,88058595,22.4
P00279,15828754,20340596,28.5
P00281,106920353,90459446,15.4
P00283,174925642,192052135,9.79
P00285,14378034,11852916,17.56
P00286,104629076,116549473,11.39
P00287,65347410,55289639,15.39
P00288,45100373,45365752,0.59
P00289,67438240,67972869,0.79
P00290,15080883,20346686,34.92
P00291,58135703,63633235,9.46
P00292,5213216,4749575,8.89
P00294,48801609,53816332,10.28
P00295,67349624,88950410,32.07
P00296,179199291,135394846,24.44
P00298,43856766,36097573,17.69
P00300,18596948,17671777,4.97
P00301,143087708,130554866,8.76
P00302,88668178,82472142,6.99
P00303,145652082,105759611,27.39
P00304,65090616,84281332,29.48
P00305,71925158,50437674,29.87
P00306,33663262,32247900,4.2
P00307,34669469,42283731,21.96
P00313,26242737,26123917,0.45
P00314,245767876,209662332,14.69
P00315,49308364,39333215,20.23
P00316,50174879,48443851,3.45
P00317,52866037,46862864,11.36
P00318,15518014,15995730,3.08
P00319,76020461,60039616,21.02
P00320,32316447,37834076,17.07
P00321,59438210,60880501,2.43
P00322,51334782,53381276,3.99
P00323,9542408,12430189,30.26
P00326,26815290,24349971,9.19
P00327,13335087,11302532,15.24
P00328,15403565,13631687,11.5
P00330,94388140,91662306,2.89
P00331,19829974,19559399,1.36
P00332,36594668,32034801,12.46
P00334,174679054,121670461,30.35
P00335,27689956,25360141,8.41
P00338,360025735,387230499,7.56
P00339,48605037,49995833,2.86
P00340,15392041,19269395,25.19
P00341,47581699,67121227,41.07
P00342,96921044,112376082,15.95
P00344,28867383,37248431,29.03
P00345,21395761,24840962,16.1
P00347,55153548,74958020,35.91
P00356,36784204,43592421,18.51
P00357,47750103,52291926,9.51
P00360,12053441,12904872,7.06
P00361,15190544,14878785,2.05
P00362,56282857,56050198,0.41
P00364,109333698,103423777,5.41
P00365,187108302,205706915,9.94
P00368,48341908,42770228,11.53
P00369,51786056,50796392,1.91
P00370,12684302,9696933,23.55
P00371,26235645,30756282,17.23
P00372,59767856,58450126,2.2
P00374,69146623,72296807,4.56
P00375,60903951,69782447,14.58
P00376,6358166,6549097,3.0
P00377,10659060,12198594,14.44
P00378,95235799,83410009,12.42
P00381,15987819,22120430,38.36
P00383,11077708,13004538,17.39
P00384,55961043,57834193,3.35
P00387,367515639,451313869,22.8
P00389,78794030,64060997,18.7
P00397,44291047,43012741,2.89
P00398,55192282,63163429,14.44
P00399,153842773,125119401,18.67
P00400,87036002,91914002,5.6
P00401,127975766,134786331,5.32
P00402,14718467,17616865,19.69
P00403,17773148,13271691,25.33
P00405,42433411,53361752,25.75
P00407,130752790,119048412,8.95
P00409,40112171,37243287,7.15
P00411,17613451,15461079,12.22
P00412,28078072,25023593,10.88
P00413,8255034,8588143,4.04
P00414,46793487,41588498,11.12
P00416,18528365,20722966,11.84
P00417,18026507,16114353,10.61
P00418,26278412,21178155,19.41
P00419,216432369,198154771,8.44
P00420,7269024,7660629,5.39
P00423,40714499,38907731,4.44
P00437,80425224,80700359,0.34
P00438,19794683,21172803,6.96
P00439,37979259,42090215,10.82
P00440,89829152,87043592,3.1
P00442,81949709,73392339,10.44
P00443,41249129,41563012,0.76
P00444,20572094,21540318,4.71
P00446,88722532,67986652,23.37
P00447,71742050,61518999,14.25
P00448,40295426,35658635,11.51
P00450,18109263,17507101,3.33
P00453,590579718,518667527,12.18
P00454,142001348,158065465,11.31
P00455,16183890,12027522,25.68
P00456,68435003,57624197,15.8
P00457,24460783,23644064,3.34
P00458,45194542,44400687,1.76
P00459,13029647,11134297,14.55
P00460,20220106,18257141,9.71
P00464,33951812,31773225,6.42
P00465,63968512,59943122,6.29
P00466,110252299,112931544,2.43
P00467,51989515,46486288,10.59
P00468,51781313,64025201,23.65
P00469,29949987,32289462,7.81
P00470,31303445,27260975,12.91
P00485,22531860,22744811,0.95
P00486,19858136,20104407,1.24
P00487,25983126,29139352,12.15
P00488,42253363,39716545,6.0
P00490,28016555,30166373,7.67
P00491,57201109,57440521,0.42
P00493,10186715,12617781,23.87
P00496,24684566,29782981,20.65
P00497,29018750,29933324,3.15
P00500,8542623,8318564,2.62
P00502,20534005,21574269,5.07
P00503,66304465,64390122,2.89
P00504,44237529,56130750,26.88
P00505,109775651,111153907,1.26
P00506,74845191,69987526,6.49
