event_id,plan_id,stage_seq,stage_name,event_date,result,attempt_no
E000001,P00001,1,부서초안제출,2022-02-28,통과,1
E000002,P00001,2,예산실1차조정,2022-03-13,통과,1
E000003,P00001,3,경영진검토,2022-04-16,통과,1
E000004,P00001,4,이사회승인,2022-05-13,통과,1
E000005,P00001,5,확정배포,2022-05-27,통과,1
E000006,P00002,1,부서초안제출,2022-02-28,통과,1
E000007,P00002,2,예산실1차조정,2022-04-01,통과,1
E000008,P00002,3,경영진검토,2022-05-12,반려,1
E000009,P00002,3,경영진검토,2022-05-24,통과,2
E000010,P00002,4,이사회승인,2022-06-27,반려,1
E000011,P00002,4,이사회승인,2022-07-19,반려,2
E000012,P00003,1,부서초안제출,2022-02-20,통과,1
E000013,P00003,2,예산실1차조정,2022-03-29,통과,1
E000014,P00003,3,경영진검토,2022-05-04,통과,1
E000015,P00003,4,이사회승인,2022-06-06,통과,1
E000016,P00003,5,확정배포,2022-06-18,통과,1
E000017,P00004,1,부서초안제출,2022-02-05,통과,1
E000018,P00004,2,예산실1차조정,2022-02-26,통과,1
E000019,P00004,3,경영진검토,2022-03-15,반려,1
E000020,P00004,3,경영진검토,2022-04-16,통과,2
E000021,P00004,4,이사회승인,2022-05-20,반려,1
E000022,P00004,4,이사회승인,2022-06-28,통과,2
E000023,P00004,5,확정배포,2022-07-21,통과,1
E000024,P00005,1,부서초안제출,2023-01-15,통과,1
E000025,P00005,2,예산실1차조정,2023-02-21,통과,1
E000026,P00005,3,경영진검토,2023-03-26,통과,1
E000027,P00005,4,이사회승인,2023-04-06,통과,1
E000028,P00005,5,확정배포,2023-04-20,통과,1
E000029,P00006,1,부서초안제출,2023-03-06,통과,1
E000030,P00006,2,예산실1차조정,2023-04-04,통과,1
E000031,P00006,3,경영진검토,2023-05-11,통과,1
E000032,P00006,4,이사회승인,2023-05-31,통과,1
E000033,P00006,5,확정배포,2023-07-14,통과,1
E000034,P00007,1,부서초안제출,2023-03-06,통과,1
E000035,P00007,2,예산실1차조정,2023-04-17,통과,1
E000036,P00007,3,경영진검토,2023-05-07,통과,1
E000037,P00007,4,이사회승인,2023-05-31,반려,1
E000038,P00007,4,이사회승인,2023-06-24,통과,2
E000039,P00007,5,확정배포,2023-07-01,철회,1
E000040,P00008,1,부서초안제출,2023-01-07,통과,1
E000041,P00008,2,예산실1차조정,2023-02-11,통과,1
E000042,P00008,3,경영진검토,2023-02-26,통과,1
E000043,P00008,4,이사회승인,2023-03-13,통과,1
E000044,P00008,5,확정배포,,통과,1
E000045,P00009,1,부서초안제출,2023-03-13,통과,1
E000046,P00009,2,예산실1차조정,2023-03-26,반려,1
E000047,P00009,2,예산실1차조정,2023-04-22,통과,2
E000048,P00009,3,경영진검토,2023-05-26,통과,1
E000049,P00009,4,이사회승인,2023-07-02,통과,1
E000050,P00009,5,확정배포,2023-07-27,통과,1
E000051,P00010,1,부서초안제출,2023-01-10,통과,1
E000052,P00010,2,예산실1차조정,2023-02-04,통과,1
E000053,P00010,3,경영진검토,2023-03-02,통과,1
E000054,P00010,4,이사회승인,2023-04-10,통과,1
E000055,P00010,5,확정배포,2023-04-24,통과,1
E000056,P00011,1,부서초안제출,2023-02-13,통과,1
E000057,P00011,2,예산실1차조정,2023-03-22,통과,1
E000058,P00011,3,경영진검토,2023-04-02,통과,1
E000059,P00011,4,이사회승인,2023-04-18,통과,1
