plan_id,department_id,cycle_year,task_name,submitted_date,planned_amount,final_status,prep_days,is_new_business
P00001,D01,2022,영업1팀 2022 과제1,2022-02-28,15619244,확정배포,71,아니오
P00002,D01,2022,영업1팀 2022 과제2,2022-02-28,109837997,반려종결,42,아니오
P00003,D01,2022,영업1팀 2022 과제3,2022-02-20,29007930,확정배포,88,아니오
P00004,D01,2022,영업1팀 2022 과제4,2022-02-05,35943085,확정배포,84,아니오
P00005,D01,2023,영업1팀 2023 과제1,2023-01-15,42322150,확정배포,73,예
P00006,D01,2023,영업1팀 2023 과제2,2023-03-06,29461753,확정배포,31,아니오
P00007,D01,2023,영업1팀 2023 과제3,2023-03-06,17408914,철회,57,아니오
P00008,D01,2023,영업1팀 2023 과제4,2023-01-07,13575052,확정배포,39,아니오
P00009,D01,2023,영업1팀 2023 과제5,2023-03-13,12110341,확정배포,64,아니오
P00010,D01,2023,영업1팀 2023 과제6,2023-01-10,8414034,확정배포,58,아니오
P00011,D01,2023,영업1팀 2023 과제7,2023-02-13,15852729,확정배포,74,아니오
P00012,D01,2023,영업1팀 2023 과제8,2023-02-03,70536146,철회,42,아니오
P00013,D01,2023,영업1팀 2023 과제9,2023-01-12,15966108,확정배포,65,아니오
P00014,D01,2023,영업1팀 2023 과제10,2023-01-22,103946012,반려종결,25,예
P00015,D01,2023,영업1팀 2023 과제11,2023-02-24,96443274,확정배포,60,아니오
P00016,D01,2024,영업1팀 2024 과제1,2024-02-08,38390236,확정배포,75,아니오
P00017,D01,2024,영업1팀 2024 과제2,2024-01-31,58578646,확정배포,89,아니오
P00018,D01,2024,영업1팀 2024 과제3,2024-02-14,141080843,확정배포,38,아니오
P00019,D01,2024,영업1팀 2024 과제4,2024-02-01,29481953,반려종결,22,아니오
P00020,D01,2024,영업1팀 2024 과제5,2024-02-09,21287948,철회,45,아니오
P00021,D01,2024,영업1팀 2024 과제6,2024-02-14,46684185,철회,45,아니오
P00022,D01,2024,영업1팀 2024 과제7,2024-02-19,20662366,확정배포,83,예
P00023,D01,2024,영업1팀 2024 과제8,2024-01-21,270646040,확정배포,37,아니오
P00024,D01,2024,영업1팀 2024 과제9,2024-02-14,28387502,철회,69,아니오
P00025,D01,2025,영업1팀 2025 과제1,2025-01-15,24159917,확정배포,56,예
P00026,D01,2025,영업1팀 2025 과제2,2025-02-18,56359529,반려종결,22,아니오
P00027,D01,2025,영업1팀 2025 과제3,2025-01-18,26052588,확정배포,62,아니오
P00028,D01,2025,영업1팀 2025 과제4,2025-01-05,8194308,반려종결,14,아니오
P00029,D01,2026,영업1팀 2026 과제1,2026-02-20,189344836,확정배포,61,아니오
